Id,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,BedroomAbvGr,TotRmsAbvGrd,SalePrice
331,NA,10624,5,4,1964,6,10,119000
332,70,8176,5,6,1958,3,6,139000
333,85,10655,8,5,2003,3,7,284000
334,59,8198,7,5,2004,2,6,207000
335,59,9042,6,5,1998,3,7,192000
336,NA,164660,5,6,1965,3,7,228950
337,86,14157,9,5,2005,3,8,377426
338,70,9135,7,5,2002,3,7,214000
339,91,14145,7,7,1984,3,8,202500
340,66,12400,6,7,1958,3,6,155000
341,85,14191,8,5,2002,4,9,202900
342,60,8400,4,4,1950,2,4,82000
343,NA,8544,3,4,1949,2,6,87500
344,63,8849,9,5,2005,2,6,266000
345,36,2592,5,3,1976,3,4,85000
346,65,6435,6,5,1939,3,6,140200
347,NA,12772,6,8,1960,2,5,151500
348,NA,17600,6,5,1960,3,6,157500
349,36,2448,7,5,2003,2,6,154000
350,56,20431,9,5,2005,4,10,437154
351,68,7820,9,5,2007,2,6,318061
352,NA,5271,7,5,1986,2,6,190000
353,60,9084,5,6,1941,3,5,95000
354,60,8520,6,8,1928,2,5,105900
355,60,8400,6,5,1940,2,6,140000
356,105,11249,6,5,1995,3,6,177500
357,NA,9248,6,6,1992,3,6,173000
358,44,4224,5,5,1976,3,6,134000
359,92,6930,5,4,1958,3,6,130000
360,78,12011,8,5,1998,3,7,280000
361,NA,7540,6,6,1978,2,5,156000
362,NA,9144,5,5,1940,3,8,145000
363,64,7301,7,5,2003,4,7,198500
364,21,1680,6,8,1972,2,5,118000
365,NA,18800,6,5,1976,3,6,190000
366,59,10690,5,7,1920,3,6,147000
367,NA,9500,6,5,1963,3,6,159000
368,101,9150,6,5,1962,3,6,165000
369,78,7800,5,6,1954,2,7,132000
370,NA,9830,5,7,1959,3,7,162000
371,NA,8121,6,5,2000,3,7,172400
372,80,17120,4,4,1959,4,7,134432
373,50,7175,6,5,1984,2,4,125000
374,79,10634,5,6,1953,3,5,123000
375,65,8200,7,5,2003,4,8,219500
376,NA,10020,1,1,1922,1,4,61000
377,57,8846,5,5,1996,2,5,148000
378,102,11143,8,5,2004,4,8,340000
379,88,11394,9,2,2010,1,8,394432
380,60,8123,6,5,2000,3,7,179000
381,50,5000,5,6,1924,3,6,127000
382,60,7200,7,5,2006,2,5,187750
383,79,9245,7,5,2006,3,8,213500
384,60,9000,6,3,1928,2,5,76000
385,NA,53107,6,5,1992,3,9,240000
386,43,3182,8,5,2004,2,6,192000
387,58,8410,5,3,1910,5,8,81000
388,72,7200,6,6,1976,3,6,125000
389,93,9382,7,5,1999,3,6,191000
390,96,12474,10,5,2007,3,9,426000
391,50,8405,5,8,1900,4,7,119000
392,71,12209,6,5,2001,3,7,215000
393,NA,8339,5,7,1959,3,5,106500
394,NA,7446,4,5,1941,2,4,100000
395,60,10134,5,6,1940,2,5,109000
396,68,9571,5,6,1956,3,6,129000
397,60,7200,5,5,1972,2,6,123000
398,69,7590,5,5,1962,4,8,169500
399,60,8967,5,2,1920,2,6,67000
400,65,8125,7,5,2006,2,7,241000
401,38,14963,8,5,1996,1,4,245500
402,65,8767,7,5,2005,3,6,164990
403,60,10200,5,8,1940,2,4,108000
404,93,12090,8,5,1998,4,10,258000
405,NA,10364,6,5,1995,3,7,168000
406,NA,9991,4,4,1976,3,8,150000
407,51,10480,6,5,1936,3,6,115000
408,63,15576,6,7,1915,4,8,177000
409,109,14154,7,5,2006,3,9,280000
410,85,10800,8,5,2007,3,8,339750
411,68,9571,5,3,1958,3,5,60000
412,100,34650,5,5,1955,3,5,145000
413,NA,4403,7,5,2009,2,7,222000
414,56,8960,5,6,1927,2,5,115000
415,59,11228,7,5,1993,3,9,228000
416,73,8899,7,5,2007,3,6,181134
417,74,7844,6,7,1978,3,6,149500
418,86,22420,6,6,1918,4,10,239000
419,60,8160,5,6,1940,3,7,126000
420,65,8450,5,6,1968,3,6,142000
421,78,7060,7,5,1997,2,8,206300
422,NA,16635,6,7,1977,3,8,215000
423,100,21750,5,5,1954,2,4,113000
424,80,9200,8,5,1998,4,8,315000
425,72,9000,6,5,1956,2,6,139000
426,60,3378,7,8,1946,3,6,135000
427,NA,12800,7,5,1989,2,5,275000
428,77,8593,4,6,1957,3,5,109008
429,64,6762,7,5,2007,2,6,195400
430,130,11457,6,5,1988,3,6,175000
431,21,1680,6,5,1971,2,4,85400
432,60,5586,6,7,1920,4,7,79900
433,24,1920,5,5,1971,2,6,122500
434,100,10839,6,5,1997,3,7,181000
435,21,1890,4,7,1972,1,3,81000
436,43,10667,7,6,1996,3,6,212000
437,40,4400,6,8,1920,2,6,116000
438,50,6000,6,7,1926,2,4,119000
439,40,4280,5,6,1913,2,4,90350
440,67,12354,6,8,1920,3,7,110000
441,105,15431,10,5,2008,2,10,555000
442,92,12108,4,4,1955,4,8,118000
443,52,6240,5,7,1930,3,8,162900
444,53,3922,7,5,2006,2,6,172500
445,70,8750,7,5,1994,4,8,210000
446,73,9855,6,5,1956,3,7,127500
447,137,16492,6,6,1966,2,6,190000
448,NA,11214,7,5,1998,4,10,199900
449,50,8600,6,6,1937,3,7,119500
450,50,6000,3,7,1948,2,6,120000
451,70,5684,6,8,1930,2,5,110000
452,62,70761,7,5,1975,2,5,280000
453,NA,9303,6,5,1996,3,7,204000
454,75,9000,8,5,2008,3,6,210000
455,63,9297,5,5,1976,4,8,188000
456,80,9600,7,6,1973,3,6,175500
457,34,4571,5,5,1916,4,7,98000
458,NA,53227,4,6,1954,2,6,256000
459,NA,5100,8,7,1925,3,7,161000
460,NA,7015,5,4,1950,3,5,110000
461,75,8004,8,5,2009,3,8,263435
462,60,7200,7,9,1936,3,6,155000
463,60,8281,5,5,1965,3,5,62383
464,74,11988,6,7,1934,3,6,188700
465,60,8430,5,5,1978,3,5,124000
466,NA,3072,7,5,2004,2,6,178740
467,85,10628,7,5,1970,2,5,167000
468,79,9480,5,7,1942,3,7,146500
469,98,11428,8,5,2006,3,7,250000
470,76,9291,6,5,1993,3,7,187000
471,NA,6820,8,5,1985,1,4,212000
472,92,11952,7,6,1977,3,8,190000
473,35,3675,6,5,2005,2,5,148000
474,110,14977,8,5,2006,2,7,440000
475,41,5330,8,5,2000,2,6,251000
476,80,8480,5,6,1963,2,5,132500
477,75,13125,6,5,1997,3,7,208900
478,105,13693,9,5,2006,3,9,380000
479,79,10637,8,5,2007,3,7,297000
480,50,5925,4,7,1937,2,7,89471
481,98,16033,9,5,2004,3,8,326000
482,72,11846,9,5,2003,2,6,374000
483,50,2500,7,8,1915,4,7,155000
484,32,4500,6,5,1998,2,5,164000
485,NA,7758,5,7,1962,3,6,132500
486,80,9600,5,7,1950,3,5,147000
487,79,10289,5,7,1965,3,6,156000
488,70,12243,5,6,1971,3,7,175000
489,60,10800,5,4,1900,3,10,160000
490,21,1526,4,8,1970,1,3,86000
491,NA,2665,5,6,1976,3,4,115000
492,79,9490,6,7,1941,3,5,133000
493,105,15578,6,5,2006,3,8,172785
494,70,7931,5,6,1960,3,6,155000
495,50,5784,5,8,1938,2,4,91300
496,60,7879,4,5,1920,2,4,34900
497,NA,12692,8,5,1992,4,10,430000
498,60,9120,7,6,1925,4,8,184000
499,65,7800,5,7,1967,3,5,130000
500,70,7535,5,7,1958,2,5,120000
501,21,1890,6,5,1973,3,7,113000
502,75,9803,7,5,2005,3,7,226700
503,70,9170,5,7,1965,2,6,140000
504,100,15602,7,8,1959,1,6,289000
505,24,2308,6,5,1974,3,6,147000
506,60,7596,5,5,1952,4,10,124500
507,80,9554,8,5,1993,3,8,215000
508,75,7862,6,5,2009,2,4,208300
509,60,9600,7,9,1928,3,7,161000
510,80,9600,5,6,1959,3,6,124500
511,75,14559,5,7,1951,2,6,164900
512,40,6792,7,5,2005,2,6,202665
513,70,9100,5,5,1958,3,5,129900
514,71,9187,6,5,1983,3,5,134000
515,55,10594,5,5,1926,2,5,96500
516,94,12220,10,5,2009,3,9,402861
517,NA,10448,6,6,1972,3,7,158000
518,79,10208,7,5,1996,3,7,265000
519,NA,9531,6,5,1998,3,7,211000
520,53,10918,7,9,1926,3,9,234000
521,60,10800,4,7,1900,3,7,106250
522,90,11988,6,6,1957,3,6,150000
523,50,5000,6,7,1947,3,7,159000
524,130,40094,10,5,2007,3,11,184750
525,95,11787,7,5,1996,3,8,315750
526,62,7500,7,5,2005,3,6,176000
527,70,13300,5,7,1956,2,4,132000
528,67,14948,9,5,2008,3,11,446261
529,58,9098,4,7,1920,2,5,86000
530,NA,32668,6,3,1957,4,9,200624
531,85,10200,6,5,1988,3,5,175000
532,60,6155,6,8,1920,3,6,128000
533,60,7200,5,7,1955,2,5,107500
534,50,5000,1,3,1946,1,2,39300
535,74,9056,8,5,2004,3,6,178000
536,70,7000,5,7,1910,3,5,107500
537,57,8924,7,5,1998,3,8,188000
538,NA,12735,4,5,1972,3,5,111250
539,NA,11553,5,5,1968,3,7,158000
540,NA,11423,8,5,2001,3,6,272000
541,85,14601,9,5,2006,2,8,315000
542,NA,11000,8,5,2000,4,8,248000
543,78,10140,7,5,1998,3,7,213250
544,34,4058,7,5,1998,1,4,133000
545,58,17104,7,5,2006,3,7,179665
546,NA,13837,7,5,1988,4,9,229000
547,70,8737,6,7,1923,3,6,210000
548,54,7244,5,7,1970,2,5,129500
549,49,8235,5,7,1955,2,4,125000
550,75,9375,7,5,2003,4,8,263000
551,53,4043,6,6,1977,2,4,140000
552,50,6000,5,6,1957,3,5,112500
553,87,11146,8,5,2006,3,7,255500
554,67,8777,4,5,1949,2,5,108000
555,85,10625,7,5,2003,3,8,284000
556,58,6380,5,6,1922,2,5,113000
557,69,14850,5,5,1957,2,6,141000
558,60,11040,4,6,1920,3,7,108000
559,57,21872,7,5,1996,3,6,175000
560,NA,3196,7,5,2003,2,7,234000
561,NA,11341,5,6,1957,3,5,121500
562,77,10010,5,5,1974,2,6,170000
563,63,13907,5,6,1940,3,6,108000
564,66,21780,6,7,1918,4,8,185000
565,NA,13346,7,5,1992,4,9,268000
566,66,6858,6,4,1915,4,6,128000
567,77,11198,9,5,2005,4,11,325000
568,70,10171,7,5,2004,3,7,214000
569,79,12327,8,8,1983,1,5,316600
570,NA,7032,5,5,1979,2,4,135960
571,74,13101,5,5,1965,6,10,142600
572,60,7332,6,6,1959,2,4,120000
573,83,13159,7,5,2009,3,6,224500
574,76,9967,7,5,2000,3,8,170000
575,70,10500,5,7,1971,3,5,139000
576,80,8480,5,5,1947,2,6,118500
577,52,6292,7,7,1928,3,6,145000
578,96,11777,5,6,1966,3,6,164500
579,34,3604,7,5,2007,2,5,146000
580,81,12150,5,5,1954,4,7,131500
581,NA,14585,6,6,1960,3,7,181900
582,98,12704,8,5,2008,3,8,253293
583,81,11841,6,5,1990,3,5,118500
584,75,13500,10,9,1893,3,9,325000
585,51,6120,4,7,1935,3,6,133000
586,88,11443,8,5,2005,2,7,369900
587,55,10267,6,7,1918,2,5,130000
588,74,8740,5,6,1982,2,4,137000
589,65,25095,5,8,1968,1,5,143000
590,50,9100,5,6,1930,2,4,79500
591,64,8320,7,5,2004,3,6,185900
592,97,13478,10,5,2008,3,10,451950
593,60,6600,5,8,1982,2,4,138000
594,NA,4435,6,5,2003,1,4,140000
595,88,7990,5,6,1975,3,5,110000
596,69,11302,8,5,2005,3,7,319000
597,60,3600,6,7,1910,3,7,114504
598,53,3922,7,5,2006,2,7,194201
599,80,12984,5,6,1977,3,7,217500
600,24,1950,6,6,1980,3,6,151000
601,74,10927,8,5,2005,3,8,275000
602,50,9000,6,6,1937,3,6,141000
603,80,10041,8,5,1992,3,8,220000
604,30,3182,7,5,2004,2,4,151000
605,88,12803,7,5,2002,3,6,221000
606,85,13600,7,6,1965,3,7,205000
607,82,12464,5,5,1996,3,6,152000
608,78,7800,5,8,1948,3,8,225000
609,78,12168,8,6,1934,4,10,359100
610,61,7943,4,5,1961,3,5,118500
611,NA,11050,9,5,2000,3,8,313000
612,NA,10395,6,6,1978,3,6,148000
613,NA,11885,8,5,2001,3,7,261500
614,70,8402,5,5,2007,3,6,147000
615,21,1491,4,6,1972,1,3,75500
616,80,8800,6,7,1963,3,6,137500
617,NA,7861,6,5,2002,3,7,183200
618,59,7227,6,6,1954,2,4,105500
619,90,11694,9,5,2007,3,9,314813
620,85,12244,8,5,2003,4,10,305000
621,45,8248,3,3,1914,2,5,67000
622,90,10800,6,7,1974,4,9,240000
623,71,7064,5,6,1977,3,6,135000
624,NA,2117,6,5,2000,2,4,168500
625,80,10400,6,5,1972,4,8,165150
626,87,10000,6,6,1962,3,5,160000
627,NA,12342,5,5,1960,3,6,139900
628,80,9600,6,6,1955,3,7,153000
629,70,11606,5,5,1969,5,9,135000
630,82,9020,6,5,1964,3,6,168500
631,50,9000,5,6,1880,3,8,124000
632,34,4590,8,5,2006,2,6,209500
633,85,11900,7,5,1977,3,6,82500
634,80,9250,5,7,1954,3,6,139400
635,64,6979,6,5,1980,0,4,144000
636,60,10896,6,7,1914,8,14,200000
637,51,6120,2,3,1936,1,4,60000
638,50,6000,5,4,1954,3,7,93000
639,67,8777,5,7,1910,2,4,85000
640,53,3982,8,5,2006,1,7,264561
641,62,12677,8,5,2003,1,6,274000
642,NA,7050,7,5,2001,3,7,226000
643,75,13860,8,7,1972,4,9,345000
644,80,10793,5,5,1969,4,7,152000
645,85,9187,9,5,2009,2,7,370878
646,NA,10530,6,5,1971,3,5,143250
647,60,7200,5,5,1950,3,7,98300
648,85,10452,6,5,1953,3,5,155000
649,70,7700,6,5,1966,4,7,155000
650,21,1936,4,6,1970,1,3,84500
651,65,8125,7,6,2007,3,7,205950
652,60,9084,4,5,1940,4,7,108000
653,70,8750,7,5,1996,2,7,191000
654,60,10320,6,7,1906,3,7,135000
655,91,10437,8,6,1995,2,7,350000
